id,name_pl,lon,lat
1194,Centrum,19.94498,50.06465
1195,Jasień,18.54038,54.33826
1196,Bugaj,19.37413,51.65666
1200,Śródmieście,16.28056,50.76500
1201,Dańdówka,19.17715,50.26683
1209,Koszutka,19.01530,50.27189
1215,Jachcice,18.01667,53.16667
1221,Jagniątków,15.61717,50.82211
1223,Górczyn,15.25495,52.76193
1226,Dąbie,14.66000,53.40000
1231,Centrum,15.23693,52.73253
1233,Matemblewo,18.55459,54.36483
1243,Muchobór Mały,16.97534,51.10664
1247,Osiedle Słoneczne,15.19366,52.72538
1251,Śródmieście,19.12347,50.27633
1252,Osiedle Staszica,15.21461,52.73996
1260,Chwarzno,18.45876,54.50009
1269,Centrum,18.78572,50.32493
1278,Borek,16.99909,51.08834
1285,Bańgów,19.03039,50.32882
1287,Dolny,18.55926,54.44539
1292,Wyścigi,18.56010,54.44158
1293,Murcki,19.04028,50.19986
1295,Księże Małe,17.08372,51.07688
1299,Biskupin,17.10001,51.10266
1300,Centrum,17.92130,50.67511
1302,Partynice,17.00083,51.06102
1304,Godula,18.87193,50.31305
1310,Centrum,19.27393,50.20499
1316,Grudzice,17.98941,50.65252
1318,Centrum,19.03962,50.29519
1320,Salwator,19.92158,50.05390
1324,Okole,17.95000,53.30000
1327,Nowe Miasto,21.00641,52.25350
1328,Kapuściska,18.05483,53.10585
1334,Śródmieście,15.56767,54.18006
1336,Zakrzów,17.12916,51.16209
1337,Radość,21.19279,52.18798
1347,Grabówek,18.51049,54.52427
1348,Gorzków,20.72500,49.60306
1362,Niebuszewo,14.55272,53.44817
1378,Centrum,20.48012,53.77842
1393,Centrum,15.58327,54.17592
1396,Nowe Miasto,22.00982,50.02688
1411,Śródmieście,19.02094,50.25685
1412,Rubinkowo,18.66257,53.02705
1417,Grabowo,14.57614,53.43966
1418,Przybyszówka,21.96115,50.05130
1419,Arkuszewo,17.63783,52.54157
1426,Mydlice,19.16739,50.31679
1428,Łęknice,19.21491,50.34816
1429,Starówka,18.65225,54.35061
1430,Orunia,18.63817,54.32014
1431,Ostrowy Górnicze,19.27265,50.29025
1436,Nowa Wieś Królewska,17.95190,50.64687
1443,Wróblin,17.90600,50.70476
1456,Zawarcie,15.22267,52.71893
1469,Kazimierza Wielkiego,19.09231,52.64719
1480,Kacze Buki,18.45461,54.44844
1485,Grodziec,19.07242,50.35001
1486,Brzezinka,19.15985,50.19962
1491,Kalinowszczyzna,22.58832,51.25171
1499,Rzędzin,21.02630,50.01907
1501,Rakowice,19.97582,50.07976
1502,Radogoszcz,19.41770,51.81923
1504,Paniowy,18.82385,50.20903
1506,Zwięczyca,21.97952,50.01017
