id,name_pl,lon,lat
24200,Jagiełek,20.29526,53.61171
24467,Budzisław,20.11282,50.98864
24497,Gajówka Trzcianka,21.57889,52.65139
24766,Rydzów,21.36864,50.24251
24955,Fryszerka,19.70720,50.92785
25104,Grabina Wola,19.60712,51.56977
25547,Radźki,23.44770,52.83743
25667,Radziszewo,21.88563,54.21360
25992,Kamionka,19.49974,53.61522
26270,Klępino,15.03107,53.37005
26309,Lipniaki,22.58818,51.89598
27003,Grabowiec,23.04382,52.75262
27012,Radziwiłka,20.18908,52.33561
27040,Mroczków-Kapturów,20.71456,51.14314
27271,Kuryły,23.66230,53.01670
27576,Strzelec,16.01390,54.07436
27581,Głębokie,21.91497,49.54653
27706,Podłużyce,18.70159,52.05147
27748,Stężyca-Kolonia,23.12539,51.02361
27787,Kącik,19.38770,51.43013
27934,Imiołki,17.38425,52.56135
27999,Walentynów,18.85307,51.81942
28093,Magdalenowo,23.10585,54.07335
28320,Kościeszki,18.32051,52.56895
28532,Poladowo,16.48202,52.01138
28562,Andrzejów,19.04306,51.29803
28648,Wełna,16.91262,52.72545
28952,Młyniska,16.49056,54.08216
28985,Morze,22.74173,52.51554
29074,Cielemęc,22.42773,52.13856
29157,Kierzki,22.11492,54.19553
29252,Podzamek,16.73730,50.43098
29362,Ostrów,18.76263,50.73259
29482,Słępy,21.10810,54.21353
29614,Malanówko,19.47390,52.79616
29878,Olimpia,18.57676,52.12673
30273,Osowo,22.26556,54.22361
31307,Ruda Strawczyńska,20.37791,50.94311
31660,Piaski Małe,14.59678,53.66331
31790,Stębark,20.10794,53.52815
32389,Władysławowo,19.32943,54.15200
32410,Białobrzeg Dalszy,21.45047,53.11114
32531,Dębowiec,19.16657,50.71311
32534,Więcław,15.77182,53.68462
32950,Szyleny,19.87026,54.33875
33094,Lipina,23.90898,50.46974
33246,Dąbrowa,22.10395,52.40861
33256,Wąsosz,17.06561,53.31299
33618,Kajnity,20.07072,54.22660
34491,Michalków,23.64672,52.05019
34734,Miłosławice,17.36044,52.71008
34793,Budziska,21.66977,52.53810
34829,Śluza Krostkowo,17.22639,53.08274
35086,Chrostowa,19.55440,50.99648
35116,Koszewko,14.90438,53.28792
35280,Sosnówka,21.98218,51.74044
35343,Zalesie Krasieńskie,23.18067,51.11775
35632,Drzonowo,16.17514,53.04432
35942,Kołacze,23.33490,51.46957
36025,Jezioro,19.38722,54.07300
36123,Moskorzyn,16.08786,51.54214
36284,Srock,19.62974,51.52962
36586,Stelmachowo-Kolonia,22.73922,53.14528
36661,Stare Łysogórki,14.28952,52.78528
37185,Opatkowice,21.88166,51.45068
37852,Zdziar-Las,20.01432,52.61130
37965,Jeziernik,18.98790,54.20972
38447,Bierzewice,19.49030,52.44673
38757,Ocieść,20.78682,51.53202
38935,Wojkowo,14.92610,52.15549
39370,Grabowa,18.64206,51.07070
39521,Stary Widok,19.68723,51.01858
39705,Sajdy,21.46720,51.23770
39974,Białkowo,19.84030,52.54848
40246,Nowy Dwór,20.11451,50.88309
40318,Nowe Okniny,22.33889,52.00785
40662,Wróbel,22.06247,54.24064
41129,Jeziorko,18.86907,51.49683
41608,Brześnica,17.14228,51.95692
41669,Twarda,20.03057,51.45484
41700,Grabnik,23.23063,50.57019
42514,Młody Niedróż,19.99638,52.78601
42881,Górki,20.71440,51.12443
42998,Niedów,14.98990,51.03984
43006,Stare Kozłowice,20.41554,52.08031
43164,Staniew,17.42199,51.82550
43278,Marianów,19.65987,52.03809
43279,Zdunków,21.80045,51.45672
43552,Żywa Woda,22.88611,54.16948
43997,Zawory,17.15731,52.06390
44204,Zalesie,22.96655,53.25608
44966,Trojanowice,20.16627,51.25935
45669,Babiak,19.03592,53.04112
45789,Kluczkowice,21.93962,51.08544
45837,Witówko,20.87576,53.53574
46071,Kornie,23.60444,50.30798
46211,Harklowa,20.16989,49.47339
46269,Ostrowąs,16.05458,53.75416
46302,Chrzanowice,18.43639,51.64091
46330,Żytowo,19.79949,52.81735
46700,Kowalskie Błota,17.98078,53.63245
46789,Warszewka,20.03264,52.70284
47311,Osieki Lęborskie,17.89713,54.77129
47332,Aleksandrów k. Wąsosza,19.76551,50.78059
47972,Psary Stare,19.77258,51.49656
48604,Łazy Duże,22.66233,53.21300
